id,course_id,course_name,source_id,resource_id,source_media_path,file,file_size,sha256,owner_id,owner_entity_type,owner_resolution,layout
C13:IMG:1199,C13,分布式数据库,1199,rId34,media/image34.png,media/C13/1199_image34.png,83993,372ec5b968e329037bbdab08a60d0a86d3b0c5f53d4d77116a7f43a6ca9314c2,C13:K:810,knowledge,nearest_ancestor,"{""x"":195.5,""y"":55.25,""width"":377.0,""height"":105.0}"
C14:IMG:2339,C14,软件工程,2339,rId1,media/image1.png,media/C14/2339_image1.png,131166,2e21814ee96c842478ac2fdcb63f8f5f1cecc0fbdbfb8147327d0325615aa6a6,C14:K:450,knowledge,nearest_ancestor,"{""x"":146.5,""y"":74.25,""width"":279.0,""height"":143.0}"
C14:IMG:2340,C14,软件工程,2340,rId2,media/image2.png,media/C14/2340_image2.png,115948,9e8503685171683adc0f1fa648060217d495289f6dc94b036711bfe31634a96d,C14:K:456,knowledge,nearest_ancestor,"{""x"":149.5,""y"":72.75,""width"":285.0,""height"":140.0}"
C14:IMG:2341,C14,软件工程,2341,rId3,media/image3.png,media/C14/2341_image3.png,38297,9ec48ff37a47cd37d51163ac4de86062e4256bf0669e9f40928324bf852522e1,C14:K:632,knowledge,nearest_ancestor,"{""x"":81.5,""y"":137.25,""width"":149.0,""height"":269.0}"
C14:IMG:2342,C14,软件工程,2342,rId4,media/image4.png,media/C14/2342_image4.png,44968,6f7351a3955a1d13363c0f4de7149cb23cd93333e3622798472d5a5152a357a6,C14:K:638,knowledge,nearest_ancestor,"{""x"":124.5,""y"":76.75,""width"":235.0,""height"":148.0}"
C14:IMG:2343,C14,软件工程,2343,rId5,media/image5.png,media/C14/2343_image5.png,74999,954d6cfeaa68f2847a43e9847dab19887984a6093c74fc66af108e246aab3202,C14:K:644,knowledge,nearest_ancestor,"{""x"":119.0,""y"":91.75,""width"":224.0,""height"":178.0}"
C14:IMG:2349,C14,软件工程,2349,rId6,media/image6.png,media/C14/2349_image6.png,22089,7a435b6796ea78eccff571d65fcd21c726b7c12e6c10b67a68a9ca73d699ae90,C14:K:868,knowledge,nearest_ancestor,"{""x"":165.0,""y"":51.25,""width"":316.0,""height"":97.0}"
C14:IMG:2350,C14,软件工程,2350,rId7,media/image7.png,media/C14/2350_image7.png,22423,fa4ff60d558109a688248231dcc694e75514c5d4b3879f87dd8e0f4976b2fb6a,C14:K:878,knowledge,nearest_ancestor,"{""x"":164.5,""y"":55.75,""width"":315.0,""height"":106.0}"
C14:IMG:2351,C14,软件工程,2351,rId8,media/image8.png,media/C14/2351_image8.png,64241,8ad31c7e3cb22e331b56e0025ebbc7e47fb4cd2d2788cc12b68a01b3a6fc4c33,C14:K:892,knowledge,nearest_ancestor,"{""x"":232.0,""y"":47.25,""width"":450.0,""height"":89.0}"
C14:IMG:2352,C14,软件工程,2352,rId9,media/image9.png,media/C14/2352_image9.png,149767,952781279c9224f2cf841595a41c163d1ac344f878a34d38ff2810d88108e5f3,C14:K:902,knowledge,nearest_ancestor,"{""x"":114.5,""y"":96.25,""width"":215.0,""height"":187.0}"
C14:IMG:2353,C14,软件工程,2353,rId10,media/image10.png,media/C14/2353_image10.png,45360,9f3eb05bbcf496b6ab07b63f22ab32f45a5cd36e63b6fd4c21c166e66415271e,C14:K:916,knowledge,nearest_ancestor,"{""x"":78.5,""y"":142.25,""width"":143.0,""height"":279.0}"
C14:IMG:2354,C14,软件工程,2354,rId11,media/image11.png,media/C14/2354_image11.png,53858,0884b942dfd22dbea479b6841fb1d065332ce718fbbf2c4900da670452721b70,C14:K:928,knowledge,nearest_ancestor,"{""x"":184.0,""y"":59.25,""width"":354.0,""height"":113.0}"
C14:IMG:2355,C14,软件工程,2355,rId12,media/image12.png,media/C14/2355_image12.png,58776,96f223684776c55156ac3f9ca2226ba8d49b9a6f2683fdefa5786dd2c6741e1e,C14:K:956,knowledge,nearest_ancestor,"{""x"":179.5,""y"":60.25,""width"":345.0,""height"":115.0}"
C14:IMG:2356,C14,软件工程,2356,rId13,media/image13.png,media/C14/2356_image13.png,154390,1127a3f4f50c6f9a81b83d00ef12602f371a00c715b4d2a05fa2e3c997fa0712,C14:K:998,knowledge,nearest_ancestor,"{""x"":137.5,""y"":79.25,""width"":261.0,""height"":153.0}"
C14:IMG:2357,C14,软件工程,2357,rId14,media/image14.png,media/C14/2357_image14.png,43447,97aafbdce5672dc304d727966847676c2b56d8710d5e7b28da3f6845e0fc824d,C14:K:1034,knowledge,nearest_ancestor,"{""x"":106.0,""y"":103.75,""width"":198.0,""height"":202.0}"
C14:IMG:2358,C14,软件工程,2358,rId15,media/image15.png,media/C14/2358_image15.png,7712,2b4a0c5b8850acea025d9f26f977173e464fa147d85269950177013a0f86e301,C14:K:1092,knowledge,nearest_ancestor,"{""x"":59.5,""y"":41.25,""width"":105.0,""height"":77.0}"
C14:IMG:2359,C14,软件工程,2359,rId16,media/image16.png,media/C14/2359_image16.png,8172,dab698bf8b1d939ed32eeb14c25c920d0bd4a9d846346071cdf2ce9d0f197306,C14:K:1098,knowledge,nearest_ancestor,"{""x"":72.5,""y"":37.75,""width"":131.0,""height"":70.0}"
C14:IMG:2360,C14,软件工程,2360,rId17,media/image17.png,media/C14/2360_image17.png,8576,712babf6984c85b4712f88f3e2639d25528fb0e0eb74f816c73cef79fe605265,C14:K:1104,knowledge,nearest_ancestor,"{""x"":55.5,""y"":40.25,""width"":97.0,""height"":75.0}"
C14:IMG:2361,C14,软件工程,2361,rId18,media/image18.png,media/C14/2361_image18.png,55027,92594942c9743446f3fa5afc47401db6bcddf2a44264cc01adc4d09831678e6c,C14:K:1296,knowledge,nearest_ancestor,"{""x"":160.5,""y"":41.25,""width"":307.0,""height"":77.0}"
C14:IMG:2362,C14,软件工程,2362,rId19,media/image19.png,media/C14/2362_image19.png,19753,75431705726beca68e305e115e711d6c73720b5b016ee86f2da5b00610921ad6,C14:K:1320,knowledge,nearest_ancestor,"{""x"":95.0,""y"":51.25,""width"":176.0,""height"":97.0}"
