course_id,course_name,group_id,parent_id,label,node_ids,source_ids
C05,离散数学,C05:DUP:001,C05:K:104,包含,"[""C05:K:106"",""C05:K:291""]","[""106"",""291""]"
C10,计算机网络,C10:DUP:001,C10:K:1872,替换,"[""C10:K:2571"",""C10:K:2573""]","[""2571"",""2573""]"
C10,计算机网络,C10:DUP:002,C10:K:3184,信道空闲：发送完整帧,"[""C10:K:3185"",""C10:K:3186""]","[""3185"",""3186""]"
C11,编译原理,C11:DUP:001,C11:K:3252,例子,"[""C11:K:3266"",""C11:K:3284""]","[""3266"",""3284""]"
C12,数据库,C12:DUP:001,C12:K:475,除,"[""C12:K:479"",""C12:K:487""]","[""479"",""487""]"
C12,数据库,C12:DUP:002,C12:K:1243,同时提供DAC和MAC保护的系统称为多级安全系统,"[""C12:K:1265"",""C12:K:1269""]","[""1265"",""1269""]"
C21,微机原理,C21:DUP:001,C21:K:781,格式,"[""C21:K:783"",""C21:K:785""]","[""783"",""785""]"
C21,微机原理,C21:DUP:002,C21:K:3651,工作方式,"[""C21:K:3667"",""C21:K:3732""]","[""3667"",""3732""]"
