id,course_id,course_name,source_id,label,entity_type,parent_id,depth,path,layout,image_ids
C12:F:3702,C12,数据库,3702,编译原理,floating_root,,0,编译原理,"{""x"":1933.54,""y"":6285.62,""width"":107.2,""height"":35.4}",[]
C12:F:3750,C12,数据库,3750,软件工程,floating_root,,0,软件工程,"{""x"":3414.07,""y"":4550.29,""width"":107.2,""height"":35.4}",[]
C12:F:3762,C12,数据库,3762,离散数学,floating_root,,0,离散数学,"{""x"":4916.66,""y"":2509.55,""width"":107.2,""height"":35.4}",[]
C12:F:3763,C12,数据库,3763,离散数学,floating_root,,0,离散数学,"{""x"":3416.36,""y"":6943.43,""width"":107.2,""height"":35.4}",[]
C12:F:3773,C12,数据库,3773,E-R模型,floating_root,,0,E-R模型,"{""x"":1736.21,""y"":4606.29,""width"":100.0,""height"":35.4}",[]
C12:F:3764,C12,数据库,3764,离散数学,floating_root,,0,离散数学,"{""x"":2979.85,""y"":2404.0,""width"":107.2,""height"":35.4}",[]
C12:F:3908,C12,数据库,3908,网络安全,floating_root,,0,网络安全,"{""x"":5008.39,""y"":2413.67,""width"":107.2,""height"":35.4}",[]
C12:F:3918,C12,数据库,3918,网络安全,floating_root,,0,网络安全,"{""x"":3329.76,""y"":8882.53,""width"":107.2,""height"":35.4}",[]
C12:F:3940,C12,数据库,3940,离散数学,floating_root,,0,离散数学,"{""x"":4984.97,""y"":4534.38,""width"":107.2,""height"":35.4}",[]
C12:F:3951,C12,数据库,3951,分布式数据库,floating_root,,0,分布式数据库,"{""x"":5050.79,""y"":3248.89,""width"":140.8,""height"":35.4}",[]
C12:F:3959,C12,数据库,3959,离散数学,floating_root,,0,离散数学,"{""x"":1551.58,""y"":1938.21,""width"":107.2,""height"":35.4}",[]
C12:F:3964,C12,数据库,3964,分布式数据库,floating_root,,0,分布式数据库,"{""x"":3321.97,""y"":3842.86,""width"":140.8,""height"":35.4}",[]
C12:F:3980,C12,数据库,3980,分布式数据库,floating_root,,0,分布式数据库,"{""x"":3087.21,""y"":8584.57,""width"":140.8,""height"":35.4}",[]
C12:F:3984,C12,数据库,3984,分布式数据库,floating_root,,0,分布式数据库,"{""x"":1673.5,""y"":7142.29,""width"":140.8,""height"":35.4}",[]
C12:F:3995,C12,数据库,3995,分布式数据库,floating_root,,0,分布式数据库,"{""x"":1094.07,""y"":8502.29,""width"":140.8,""height"":35.4}",[]
